Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1. What's your age?,What's your Gender,What's your educational level?,What's your occupation?,Frequency of Online Platform Usage,I am concerned about how much personal information online platforms collect from me.,I trust that my privacy is adequately protected on online platforms,The security of my personal data on online platforms often worries me.,I understand how online platforms use Big Data Analytics to collect personal information.,I trust that online service providers handle my personal data ethically.,I am comfortable with how my data is used in Big Data Analytics by online service providers.,I believe online service providers are clear about how they use Big Data Analytics.,I am aware of ethical issues involved in Big Data Analytics.,I feel well informed about my rights regarding data collected by online platforms using Big Data Analytics.,I know how to report concerns about unethical use of Big Data Analytics.,I believe the benefits of Big Data Analytics justify any privacy concerns.,Online platforms should limit their use of Big Data Analytics to better protect user privacy.,Public discussions and education about Big Data Analytics' privacy and ethics are important.
25-34,Male,Master's Degree,Employed Part-Time,Daily,A little,Extremely inadequate,Strongly disagree,Strongly disagree,Somewhat disagree,Extremely uncomfortable,Strongly disagree,Strongly disagree,,,Strongly disagree,Strongly agree,Strongly disagree
35-44,Female,Master's Degree,Employed Full-Time,Daily,A great deal,Neither adequate nor inadequate,Strongly agree,Strongly agree,Strongly agree,Extremely comfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
55-64,Non-binary / third gender,No formal education,Homemaker,Never,None at all,Extremely inadequate,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree
35-44,Male,Master's Degree,Student,Daily,None at all,Extremely inadequate,Strongly disagree,Strongly disagree,Strongly disagree,Neither comfortable nor uncomfortable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
25-34,Male,Master's Degree,Employed Full-Time,Daily,A lot,Extremely inadequate,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat uncomfortable,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Female,Master's Degree,Student,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
35-44,Female,Master's Degree,Employed Part-Time,Daily,A great deal,Neither adequate nor inadequate,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
